origin,named,timePublished,orgName,ip,hostName,authority,datePublished,currency,exitAccept,callingCode,longitude,asName,nicHdl,guard,contactInfo,routerName,netName,badExit,mntRef,fingerPrint,organisation,dirPort,orPort,techc,fast,signingKey,platform,valid,remarks,sourceName,capital,latitude,stable,nameIndividual,familyMembers,descriptorPublishDate,phone,status,platformVersion,exitTrueFalse,description,upTimeSeconds,abuseC,route,consensusBandwidth,exitReject,faxNo,onionKey,running,exitAddressDate,inetNum,hibernating,region,postalAddress,exitNode,orgType,firstSeen,lastStatusDate,orAddress,adminc,siteOperator,language,mntby,v2Dir,country,descriptorPublishTime,bandwidth,emailIndividual,person,asNumber,bandwidthUnits,memberOf,exitAddressTime,badDirectory,lastStatusTime
,,,,91.188.125.128,,,,PLN ,,48 ,21.0167 ,,,,,,,,,,,,,,,,,,,tordata8b,Warsaw ,52.2333 ,,,,,,,,,,,,,,,,,,,,,"Europe, Eastern Europe ",,,,,,,,,Polish ,,,Poland (Polska),,,,,,,,,,
,,,,86.176.33.73,,,,GBP ,,44 ,-0.13 ,,,,,,,,,,,,,,,,,,,tordata8b,London ,51.5 ,,,,,,,,,,,,,,,,,,,,,"Europe, Northern Europe ",,,,,,,,,English ,,,United Kingdom (United Kingdom),,,,,,,,,,
,,,,192.0.157.41,,,,CAD ,,1 ,-79.3987 ,,,,,,,,,,,,,,,,,,,tordata8b,Ottawa ,43.6629 ,,,,,,,,,,,,,,,,,,,,,"Americas, Northern America ",,,,,,,,,"English,French ",,,Canada (Canada),,,,,,,,,,
,,,,79.245.47.142,,,,EUR ,,49 ,9 ,,,,,,,,,,,,,,,,,,,tordata8b,Berlin ,51 ,,,,,,,,,,,,,,,,,,,,,"Europe, Western Europe ",,,,,,,,,German ,,,Germany (Deutschland),,,,,,,,,,
AS17974,,,,110.136.129.10,,,,IDR ,,62 ,107.6186 ,,"AR165-AP,HM444-AP",,,,TLKM_BB_INF_110_136,,,,,,,"HM444-AP,HM444-AP",,,,,"----------------------------------------------------------,Broadband Service for Jakarta Timur Area.,** These IP was used dinamically for end user. **,Send ABUSE and SPAM reports with plain ASCII text only to,to abuse@telkom.net.id.,The netname enclosed in square bracket is included in the subject.,-----------------------------------------------------------",tordata8b,Jakarta ,-6.9039 ,,,,,"+62-21-3860500,+62-21-3860500",ASSIGNED NON-PORTABLE,,,"PT TELKOM INDONESIA,Menara Multimedia Lt. 7,Jl. Kebonsirih No.12,JAKARTA,PT. TELKOM INDONESIA,JAKARTA",,,110.136.128.0/21,,,"+62-21-3861215,+62-21-3861215",,,,110.136.112.0 - 110.136.143.255,,"Asia, South-Eastern Asia ","PT. TELKOM INDONESIA,Menara Multimedia Lt. 7,Jl. Kebonsirih No.12,JAKARTA,PT. TELKOM INDONESIA,Menara Multimedia Lt. 7,Jl. Kebonsirih No.12,JAKARTA",,,,,,"AR165-AP,HM444-AP",,Indonesian ,"MAINT-TELKOMNET,MAINT-TELKOMNET,MAINT-TELKOMNET,MAINT-TELKOMNET",,Indonesia (Indonesia),,,,PT Telkom Indonesia Hostmaster,,,,,,
,,,,95.78.25.111,,,,RUB ,,7 ,50.0549 ,,,,,,,,,,,,,,,,,,,tordata8b,Moscow ,55.0038 ,,,,,,,,,,,,,,,,,,,,,"Europe, Eastern Europe ",,,,,,,,,Russian ,,,Russia (??????),,,,,,,,,,
,,,,24.212.135.46,,,,CAD ,,1 ,-79.5231 ,,,,,,,,,,,,,,,,,,,tordata8b,Ottawa ,43.6256 ,,,,,,,,,,,,,,,,,,,,,"Americas, Northern America ",,,,,,,,,"English,French ",,,Canada (Canada),,,,,,,,,,
,,,,178.200.125.135,,,,EUR ,,49 ,8.6063 ,,,,,,,,,,,,,,,,,,,tordata8b,Berlin ,50.137 ,,,,,,,,,,,,,,,,,,,,,"Europe, Western Europe ",,,,,,,,,German ,,,Germany (Deutschland),,,,,,,,,,
,,,,84.92.97.97,,,,GBP ,,44 ,-0.13 ,,,,,,,,,,,,,,,,,,,tordata8b,London ,51.5 ,,,,,,,,,,,,,,,,,,,,,"Europe, Northern Europe ",,,,,,,,,English ,,,United Kingdom (United Kingdom),,,,,,,,,,
,,,,178.4.66.157,,,,EUR ,,49 ,8.8234 ,,,,,,,,,,,,,,,,,,,tordata8b,Berlin ,49.9832 ,,,,,,,,,,,,,,,,,,,,,"Europe, Western Europe ",,,,,,,,,German ,,,Germany (Deutschland),,,,,,,,,,
AS3320,,"T08:56:44Z,T11:47:04Z,T10:22:59Z,T10:31:11Z,T11:17:31Z",Deutsche Telekom AG,79.231.67.224,,,"2007-06-07,2014-06-17,2003-01-29,2003-01-29,2007-06-06",EUR ,,49 ,11.6394 ,,"DTIP,DTST",,,,DTAG-DIAL24,,DTAG-NIC,,",:            ORG-DTAG1-RIPE,anisation,:   ORG-DTAG1-RIPE,,-name:       Deutsche Telekom AG,,-type:       OTHER",,,DTST,,,,,"abuse contact in case of Spam,",tordata8b,Berlin ,48.1611 ,,,,,"+49 180 2 33 1000,+49 180 2 33 1000",ASSIGNED PA,,,"Deutsche Telekom AG,Deutsche Telekom AG, Internet service provider",,DTAG4-RIPE,79.192.0.0/10,,,"+49 6151 6809399,+49 6151 6809399",,,,79.192.0.0 - 79.244.191.255,,"Europe, Western Europe ","Group Information Security, SDA/Abuse,T-Online-Allee 1,DE 64295 Darmstadt,Deutsche Telekom AG,Darmstadt, Germany,Deutsche Telekom AG,Darmstadt, Germany",,OTHER,,"2014-06-18,2014-06-17,2015-11-27,2015-11-27,2007-06-06",,DTIP,,German ,"DTAG-NIC,DTAG-NIC,DTAG-NIC,DTAG-NIC,DTAG-RR",,Germany (Deutschland),,,,"DTAG Global IP-Addressing,Security Team",,,AS3320:RS-PA-TELEKOM,,,"T06:27:42Z,T11:47:04Z,T08:02:45Z,T08:03:38Z,T11:17:31Z"
,,,,104.162.56.150,,,,"USD,USN,USS ",,1 ,-73.8424 ,,,,,,,,,,,,,,,,,,,tordata8b,Washington D.C. ,40.7229 ,,,,,,,,,,,,,,,,,,,,,"Americas, Northern America ",,,,,,,,,English ,,,United States (United States),,,,,,,,,,
,,,,82.161.182.20,,,,EUR ,,31 ,4.9 ,,,,,,,,,,,,,,,,,,,tordata8b,Amsterdam ,52.3667 ,,,,,,,,,,,,,,,,,,,,,"Europe, Western Europe ",,,,,,,,,Dutch ,,,Netherlands (Nederland),,,,,,,,,,
,,,,167.114.71.189,,,,CAD ,,1 ,-73.5747 ,,,,,,,,,,,,,,,,,,,tordata8b,Ottawa ,45.504 ,,,,,,,,,,,,,,,,,,,,,"Americas, Northern America ",,,,,,,,,"English,French ",,,Canada (Canada),,,,,,,,,,
,,,,162.243.139.73,,,,"USD,USN,USS ",,1 ,-122.4194 ,,,,,,,,,,,,,,,,,,,tordata8b,Washington D.C. ,37.7749 ,,,,,,,,,,,,,,,,,,,,,"Americas, Northern America ",,,,,,,,,English ,,,United States (United States),,,,,,,,,,
,,,,128.199.151.194,,,,SGD ,,65 ,103.8558 ,,,,,,,,,,,,,,,,,,,tordata8b,Singapore ,1.2931 ,,,,,,,,,,,,,,,,,,,,,"Asia, South-Eastern Asia ",,,,,,,,,"English,Malay,Mandarin,Tamil ",,,Singapore (Singapore),,,,,,,,,,
,,,,200.122.103.191,,,,ARS ,,54 ,-58.3816 ,,,,,,,,,,,,,,,,,,,tordata8b,Buenos Aires ,-34.6033 ,,,,,,,,,,,,,,,,,,,,,"Americas, South America ",,,,,,,,,Spanish ,,,Argentina (Argentina),,,,,,,,,,
,,,,2.245.147.99,,,,EUR ,,49 ,7.9194 ,,,,,,,,,,,,,,,,,,,tordata8b,Berlin ,49.9597 ,,,,,,,,,,,,,,,,,,,,,"Europe, Western Europe ",,,,,,,,,German ,,,Germany (Deutschland),,,,,,,,,,
AS3265,,"T08:47:19Z,T10:14:53Z,T06:18:38Z",,80.100.189.3,,,"2011-05-13,2002-01-30,2005-11-28",EUR ,,31 ,4.9 ,,XS42-RIPE,,,,XS4ALL,,,,,,,"XS42-RIPE,CB127,RZ2757-RIPE,KAI11-RIPE,MVS5",,,,,"Please send email to ""abuse@xs4all.nl"" for complaints,regarding portscans, DoS attacks and spam.",tordata8b,Amsterdam ,52.3667 ,,,,,+31 20 3987654,ASSIGNED PA,,,"XS4ALL Internet BV,None,XS4ALL Internet routing",,,80.100.0.0/15,,,+31 20 3987604,,,,80.100.188.0 - 80.100.191.255,,"Europe, Western Europe ","XS4ALL Internet BV,Postbus 1848,1000BV Amsterdam,The Netherlands",,,,"2011-05-13,2013-10-29,2006-06-28",,"XS42-RIPE,CB127,KAI11-RIPE",,Dutch ,"XS4ALL-MNT,XS4ALL-MNT,XS4ALL-MNT",,Netherlands (Nederland),,,,,,,,,,"T08:47:19Z,T14:29:08Z,T09:13:32Z"
,,,,46.41.23.213,,,,EUR ,,49 ,9 ,,,,,,,,,,,,,,,,,,,tordata8b,Berlin ,51 ,,,,,,,,,,,,,,,,,,,,,"Europe, Western Europe ",,,,,,,,,German ,,,Germany (Deutschland),,,,,,,,,,
,,,,81.246.145.47,,,,EUR ,,32 ,3.6 ,,,,,,,,,,,,,,,,,,,tordata8b,Brussels ,50.6 ,,,,,,,,,,,,,,,,,,,,,"Europe, Western Europe ",,,,,,,,,"Dutch,French,German ",,,Belgium (Belgi�),,,,,,,,,,
,,,,79.202.126.112,,,,EUR ,,49 ,11.6394 ,,,,,,,,,,,,,,,,,,,tordata8b,Berlin ,48.1611 ,,,,,,,,,,,,,,,,,,,,,"Europe, Western Europe ",,,,,,,,,German ,,,Germany (Deutschland),,,,,,,,,,
,,,,91.47.63.226,,,,EUR ,,49 ,9 ,,,,,,,,,,,,,,,,,,,tordata8b,Berlin ,51 ,,,,,,,,,,,,,,,,,,,,,"Europe, Western Europe ",,,,,,,,,German ,,,Germany (Deutschland),,,,,,,,,,
,,,,46.41.59.223,,,,EUR ,,49 ,9 ,,,,,,,,,,,,,,,,,,,tordata8b,Berlin ,51 ,,,,,,,,,,,,,,,,,,,,,"Europe, Western Europe ",,,,,,,,,German ,,,Germany (Deutschland),,,,,,,,,,
,,,,84.156.85.200,,,,EUR ,,49 ,10 ,,,,,,,,,,,,,,,,,,,tordata8b,Berlin ,53.55 ,,,,,,,,,,,,,,,,,,,,,"Europe, Western Europe ",,,,,,,,,German ,,,Germany (Deutschland),,,,,,,,,,
,,,,82.4.157.108,,,,GBP ,,44 ,1.2333 ,,,,,,,,,,,,,,,,,,,tordata8b,London ,52.2167 ,,,,,,,,,,,,,,,,,,,,,"Europe, Northern Europe ",,,,,,,,,English ,,,United Kingdom (United Kingdom),,,,,,,,,,
,,,,173.160.180.189,,,,"USD,USN,USS ",,1 ,-122.4413 ,,,,,,,,,,,,,,,,,,,tordata8b,Washington D.C. ,47.2626 ,,,,,,,,,,,,,,,,,,,,,"Americas, Northern America ",,,,,,,,,English ,,,United States (United States),,,,,,,,,,
,,,,78.213.146.86,,,,EUR ,,33 ,-0.6534 ,,,,,,,,,,,,,,,,,,,tordata8b,Paris ,44.764 ,,,,,,,,,,,,,,,,,,,,,"Europe, Western Europe ",,,,,,,,,French ,,,France (France),,,,,,,,,,
,,,,128.199.207.148,,,,SGD ,,65 ,103.8558 ,,,,,,,,,,,,,,,,,,,tordata8b,Singapore ,1.2931 ,,,,,,,,,,,,,,,,,,,,,"Asia, South-Eastern Asia ",,,,,,,,,"English,Malay,Mandarin,Tamil ",,,Singapore (Singapore),,,,,,,,,,
AS5607,,"T12:47:55Z,T09:21:33Z,T14:07:38Z",,94.193.80.26,,,"2014-11-12,2006-07-07,2014-10-24",GBP ,,44 ,-0.13 ,,BBH-RIPE,,,,BSKYB-BROADBAND,,,,,,,"BBH-RIPE,MIVS1-RIPE,JS2116-RIPE",,,,,,tordata8b,London ,51.5 ,,,,,+44 20 7032 7000,ASSIGNED PA,,,"British Sky Broadcasting Limited,Sky Broadband",,,94.192.0.0/14,,,+44 20 7900 7812,,,,94.193.0.0 - 94.193.255.255,,"Europe, Northern Europe ","Sky Network Services,1 Brick Lane,London,E1 6PU,UK",,,,"2014-11-12,2015-06-02,2015-08-17",,"BBH-RIPE,IAND-RIPE,AF9652-RIPE,PB15545-RIPE",,English ,"BSKYB-BROADBAND-MNT,BSKYB-BROADBAND-MNT,BSKYB-BROADBAND-MNT",,United Kingdom (United Kingdom),,,,,,,,,,"T12:47:55Z,T13:01:05Z,T16:30:15Z"
,,,,87.155.1.182,,,,EUR ,,49 ,8.1075 ,,,,,,,,,,,,,,,,,,,tordata8b,Berlin ,53.5234 ,,,,,,,,,,,,,,,,,,,,,"Europe, Western Europe ",,,,,,,,,German ,,,Germany (Deutschland),,,,,,,,,,
,,,,198.58.102.234,,,,"USD,USN,USS ",,1 ,-74.4773 ,,,,,,,,,,,,,,,,,,,tordata8b,Washington D.C. ,39.4899 ,,,,,,,,,,,,,,,,,,,,,"Americas, Northern America ",,,,,,,,,English ,,,United States (United States),,,,,,,,,,
,,,,50.149.38.221,,,,"USD,USN,USS ",,1 ,-75.9075 ,,,,,,,,,,,,,,,,,,,tordata8b,Washington D.C. ,40.3548 ,,,,,,,,,,,,,,,,,,,,,"Americas, Northern America ",,,,,,,,,English ,,,United States (United States),,,,,,,,,,
,,,,65.29.206.61,,,,"USD,USN,USS ",,1 ,-84.405 ,,,,,,,,,,",/RRMA",,,,,,,,,tordata8b,Washington D.C. ,39.6389 ,,,,,,,,,,,,,,,,,,,,,"Americas, Northern America ",,,,,,,,,English ,,,United States (United States),,,,,,,,,,
,,,,94.224.44.162,,,,EUR ,,32 ,4.35 ,,,,,,,,,,,,,,,,,,,tordata8b,Brussels ,50.85 ,,,,,,,,,,,,,,,,,,,,,"Europe, Western Europe ",,,,,,,,,"Dutch,French,German ",,,Belgium (Belgi�),,,,,,,,,,
,,,,78.46.64.245,,,,EUR ,,49 ,9 ,,,,,,,,,,,,,,,,,,,tordata8b,Berlin ,51 ,,,,,,,,,,,,,,,,,,,,,"Europe, Western Europe ",,,,,,,,,German ,,,Germany (Deutschland),,,,,,,,,,
,,,,92.202.101.234,,,,EUR ,,49 ,9 ,,,,,,,,,,,,,,,,,,,tordata8b,Berlin ,51 ,,,,,,,,,,,,,,,,,,,,,"Europe, Western Europe ",,,,,,,,,German ,,,Germany (Deutschland),,,,,,,,,,
,,,,212.224.84.234,,,,EUR ,,49 ,9 ,,,,,,,,,,,,,,,,,,,tordata8b,Berlin ,51 ,,,,,,,,,,,,,,,,,,,,,"Europe, Western Europe ",,,,,,,,,German ,,,Germany (Deutschland),,,,,,,,,,
,,,,89.231.52.37,,,,PLN ,,48 ,19.4667 ,,,,,,,,,,,,,,,,,,,tordata8b,Warsaw ,51.75 ,,,,,,,,,,,,,,,,,,,,,"Europe, Eastern Europe ",,,,,,,,,Polish ,,,Poland (Polska),,,,,,,,,,
,,,,94.218.55.19,,,,EUR ,,49 ,12.1528 ,,,,,,,,,,,,,,,,,,,tordata8b,Berlin ,47.8595 ,,,,,,,,,,,,,,,,,,,,,"Europe, Western Europe ",,,,,,,,,German ,,,Germany (Deutschland),,,,,,,,,,
,,,,82.229.138.31,,,,EUR ,,33 ,3.0586 ,,,,,,,,,,,,,,,,,,,tordata8b,Paris ,50.633 ,,,,,,,,,,,,,,,,,,,,,"Europe, Western Europe ",,,,,,,,,French ,,,France (France),,,,,,,,,,
,,,,121.44.183.236,,,,AUD ,,61 ,151.18 ,,,,,,,,,,,,,,,,,,,tordata8b,Canberra ,-33.8814 ,,,,,,,,,,,,,,,,,,,,,"Oceania, Australia and New Zealand ",,,,,,,,,English ,,,Australia (Australia),,,,,,,,,,
,,,,88.159.245.112,,,,EUR ,,31 ,5.4597 ,,,,,,,,,,,,,,,,,,,tordata8b,Amsterdam ,51.3508 ,,,,,,,,,,,,,,,,,,,,,"Europe, Western Europe ",,,,,,,,,Dutch ,,,Netherlands (Nederland),,,,,,,,,,
,,,,92.52.32.77,,,,EUR ,,421 ,17.1167 ,,,,,,,,,,,,,,,,,,,tordata8b,Bratislava ,48.15 ,,,,,,,,,,,,,,,,,,,,,"Europe, Eastern Europe ",,,,,,,,,Slovak ,,,Slovak Republic (Slovensko),,,,,,,,,,
,,,,77.86.197.70,,,,EUR ,,358 ,24.861 ,,,,,,,,,,,,,,,,,,,tordata8b,Helsinki ,60.2229 ,,,,,,,,,,,,,,,,,,,,,"Europe, Northern Europe ",,,,,,,,,"Finnish,Swedish ",,,Finland (Suomi),,,,,,,,,,
,,,,87.102.15.216,,,,GBP ,,44 ,-0.3714 ,,,,,,,,,,,,,,,,,,,tordata8b,London ,53.8011 ,,,,,,,,,,,,,,,,,,,,,"Europe, Northern Europe ",,,,,,,,,English ,,,United Kingdom (United Kingdom),,,,,,,,,,
,,,,92.75.22.203,,,,EUR ,,49 ,9 ,,,,,,,,,,,,,,,,,,,tordata8b,Berlin ,51 ,,,,,,,,,,,,,,,,,,,,,"Europe, Western Europe ",,,,,,,,,German ,,,Germany (Deutschland),,,,,,,,,,
,,,,50.137.78.129,,,,"USD,USN,USS ",,1 ,-71.1329 ,,,,,,,,,,,,,,,,,,,tordata8b,Washington D.C. ,42.38 ,,,,,,,,,,,,,,,,,,,,,"Americas, Northern America ",,,,,,,,,English ,,,United States (United States),,,,,,,,,,
,,,,77.180.7.80,,,,EUR ,,49 ,6.957 ,,,,,,,,,,,,,,,,,,,tordata8b,Berlin ,50.6208 ,,,,,,,,,,,,,,,,,,,,,"Europe, Western Europe ",,,,,,,,,German ,,,Germany (Deutschland),,,,,,,,,,
,,,,89.188.109.210,,,,RUB ,,7 ,37.6166 ,,,,,,,,,,,,,,,,,,,tordata8b,Moscow ,55.75 ,,,,,,,,,,,,,,,,,,,,,"Europe, Eastern Europe ",,,,,,,,,Russian ,,,Russia (??????),,,,,,,,,,
,,,,46.32.232.238,,,,GBP ,,44 ,-0.13 ,,,,,,,,,,,,,,,,,,,tordata8b,London ,51.5 ,,,,,,,,,,,,,,,,,,,,,"Europe, Northern Europe ",,,,,,,,,English ,,,United Kingdom (United Kingdom),,,,,,,,,,
,,,,41.250.152.24,,,,MAD ,,212 ,-5 ,,"DMT1-AFRINIC,SMT1-AFRINIC",,,,ADSL_Maroc_telecom,,,,,,,SMT1-AFRINIC,,,,,,tordata8b,Rabat ,32 ,,,,,"+21237686318,+21237686318",ASSIGNED PA,,,ADSL_Maroc_telecom,,,,,,,,,,41.250.128.0 - 41.250.191.255,,"Africa, Northern Africa ","Division Exploitation et maintenance des PFS,MAROC TELECOM,Avenue de France AGDAL,Immeuble DR Rabat,Service Exploitation des PFS,MAROC TEL,Avenue de France AGDAL,Immeuble DR Rabat",,,,,,DMT1-AFRINIC,,"Arabic,Berber ",ONPT-MNT,,Morocco (??????),,,,"DEMPFS Maroc Telecom,SEPFS Maroc Telecom",,,,,,
AS16276,,"T08:51:10Z,T21:22:20Z,T17:42:29Z,T16:39:43Z",Dataceneter,178.33.214.97,,,"2013-07-23,2012-06-29,2004-01-28,2010-01-19",EUR ,,33 ,2.35 ,,OTC2-RIPE,,,,OVH_46387495,,OVH-MNT,,",:            ORG-EIH3-RIPE,anisation,:   ORG-EIH3-RIPE,,-name:       Dataceneter,,-type:       OTHER",,,"OTC2-RIPE,GM84-RIPE,SL10162-RIPE",,,,,,tordata8b,Paris ,48.86 ,,,,,+90.000000,ASSIGNED PA,,,"OVH,OVH ISP,Paris, France",,,178.32.0.0/15,,,,,,,178.33.214.96 - 178.33.214.103,,"Europe, Western Europe ","Merkez /Ankara,06100 Ankara,TR,OVH SAS,2 rue Kellermann,59100 Roubaix,France",,OTHER,,"2013-07-23,2014-06-02,2014-09-05,2010-01-19",,"OTC2-RIPE,OK217-RIPE",,French ,"OVH-MNT,OVH-MNT,OVH-MNT,OVH-MNT",,France (France),,,,,,,,,,"T08:51:10Z,T14:12:26Z,T10:47:15Z,T16:39:43Z"
,,,,192.235.78.19,,,,"USD,USN,USS ",,1 ,-74.0203 ,,,,,,,,,,,,,,,,,,,tordata8b,Washington D.C. ,40.6888 ,,,,,,,,,,,,,,,,,,,,,"Americas, Northern America ",,,,,,,,,English ,,,United States (United States),,,,,,,,,,
,,,,209.210.210.21,,,,"USD,USN,USS ",,1 ,-97 ,,,,,,,,,,,,,,,,,,,tordata8b,Washington D.C. ,38 ,,,,,,,,,,,,,,,,,,,,,"Americas, Northern America ",,,,,,,,,English ,,,United States (United States),,,,,,,,,,
,,,,79.239.237.132,,,,EUR ,,49 ,10.8728 ,,,,,,,,,,,,,,,,,,,tordata8b,Berlin ,48.4205 ,,,,,,,,,,,,,,,,,,,,,"Europe, Western Europe ",,,,,,,,,German ,,,Germany (Deutschland),,,,,,,,,,
,,,,178.79.134.35,,,,GBP ,,44 ,-0.13 ,,,,,,,,,,,,,,,,,,,tordata8b,London ,51.5 ,,,,,,,,,,,,,,,,,,,,,"Europe, Northern Europe ",,,,,,,,,English ,,,United Kingdom (United Kingdom),,,,,,,,,,
,,,,134.3.129.201,,,,EUR ,,49 ,8.3936 ,,,,,,,,,,,,,,,,,,,tordata8b,Berlin ,49.0401 ,,,,,,,,,,,,,,,,,,,,,"Europe, Western Europe ",,,,,,,,,German ,,,Germany (Deutschland),,,,,,,,,,
,,,,46.232.224.102,,,,EUR ,,49 ,8.6964 ,,,,,,,,,,,,,,,,,,,tordata8b,Berlin ,49.2946 ,,,,,,,,,,,,,,,,,,,,,"Europe, Western Europe ",,,,,,,,,German ,,,Germany (Deutschland),,,,,,,,,,
AS35425,,"T16:48:36Z,T11:04:10Z,T17:40:46Z",,213.138.110.108,,,"2014-12-11,2004-09-08,2011-04-04",GBP ,,44 ,-0.13 ,,BYT2-RIPE,,,,BIGV-VM-ACCESS6,,,,,,,"BYT2-RIPE,MATB-RIPE,PRT2-RIPE",,,,,trouble:      abuse@bytemark.co.uk,tordata8b,London ,51.5 ,,,,,,ASSIGNED PA,,,"BIGV-VM-ACCESS6,Bytemark Computer Consulting Ltd /19 PA",,,213.138.96.0/19,,,,,,,213.138.110.0 - 213.138.110.255,,"Europe, Northern Europe ",Bytemark Computer Consulting Ltd,,,,"2014-12-11,2011-02-10,2011-04-04",,"BYT2-RIPE,PRT2-RIPE",,English ,"MNT-BYTEMARK,MNT-BYTEMARK,MNT-BYTEMARK",,United Kingdom (United Kingdom),,,,,,,,,,"T16:48:36Z,T10:08:23Z,T17:40:46Z"
,,,,85.16.44.57,,,,EUR ,,49 ,8.225 ,,,,,,,,,,,,,,,,,,,tordata8b,Berlin ,52.6589 ,,,,,,,,,,,,,,,,,,,,,"Europe, Western Europe ",,,,,,,,,German ,,,Germany (Deutschland),,,,,,,,,,
